driver_id,driver_type,age,home_location,work_location,vehicle_year,vehicle_make,annual_mileage_estimate,created_at,base_speed_multiplier,hard_braking_prob,hard_accel_prob,night_driving_prob,weekend_driving_mult
DRV_0027,elderly,70,East Austin,UT Campus,2023,BMW,47600,2025-09-13 18:21:25.722865,0.9,0.15,0.08,0.05,0.8
DRV_0015,safe,39,Pflugerville,Round Rock,2017,Tesla,48329,2025-09-13 18:21:25.722833,0.85,0.05,0.03,0.1,0.7
DRV_0023,safe,47,UT Campus,Downtown Austin,2018,Chevrolet,34599,2025-09-13 18:21:25.722856,0.85,0.05,0.03,0.1,0.7
DRV_0017,aggressive,34,Westlake,South Lamar,2018,Honda,25091,2025-09-13 18:21:25.722840,1.15,0.25,0.2,0.3,1.3
DRV_0008,average,64,North Austin,Cedar Park,2017,Tesla,11004,2025-09-13 18:21:25.722816,1.0,0.12,0.1,0.15,1.0
DRV_0009,average,44,South Lamar,East Austin,2023,Ford,18528,2025-09-13 18:21:25.722818,1.0,0.12,0.1,0.15,1.0
DRV_0028,elderly,81,Lakeway,Round Rock,2018,BMW,30686,2025-09-13 18:21:25.722867,0.9,0.15,0.08,0.05,0.8
DRV_0024,elderly,84,Lakeway,South Lamar,2019,Chevrolet,22720,2025-09-13 18:21:25.722859,0.9,0.15,0.08,0.05,0.8
DRV_0012,elderly,85,Pflugerville,South Lamar,2015,Mercedes,21422,2025-09-13 18:21:25.722826,0.9,0.15,0.08,0.05,0.8
DRV_0000,average,52,Cedar Park,North Austin,2017,Tesla,22310,2025-09-13 18:21:25.722780,1.0,0.12,0.1,0.15,1.0
